Species,SampleID,d13C,C_ug,d15N,N_ug,CN_ratio,d34S,S_ug
Atlantic Tripletail,AT051,-17.78,595.68,13.3,184.21,3.233785724,18.3,45
Atlantic Tripletail,AT052,-19.26,635.07,15.97,168.57,3.767374381,17.2,43
Atlantic Tripletail,AT053,-18.56,580.07,10.78,177.67,3.264954661,18.8,53
Atlantic Tripletail,AT054,-18.87,533.33,11.06,159.87,3.335906391,18.8,50
Atlantic Tripletail,AT055,-18.64,508.68,10.96,157.41,3.231523227,18.6,51
Atlantic Tripletail,AT056,-17.96,552.31,11.24,172.78,3.196630341,19.9,59
Atlantic Tripletail,AT058,-19.28,667.54,15.17,204.51,3.264141173,17,49
Atlantic Tripletail,AT059,-18.63,613.68,12.1,190.83,3.215773619,19.3,54
Atlantic Tripletail,AT060,-18.24,572.74,11.43,180.1,3.180200521,19.5,56
Atlantic Tripletail,AT062,-17.57,507.27,11.04,157.82,3.214248811,20.4,59
Atlantic Tripletail,AT064,-19.08,498,14.66,152.61,3.263118573,17.2,47
Atlantic Tripletail,AT065,-18.35,562.99,14.95,171.74,3.278239232,18,49
Atlantic Tripletail,AT067,-20.9,551.06,12.67,169.84,3.244666006,18.4,61
Atlantic Tripletail,AT068,-18.92,577.2,15.29,179.24,3.220321963,17.3,50
Atlantic Tripletail,AT069,-19.36,691.16,15.26,212.73,3.248941067,16.9,51
Atlantic Tripletail,AT070,-18.57,575.4,13.94,178.68,3.220310854,18.7,50
Atlantic Tripletail,AT071,-19.31,536.98,12.3,168.52,3.186401296,18.6,49
Atlantic Tripletail,AT072,-19.09,536.32,14.79,164.62,3.257866921,17.1,49
Atlantic Tripletail,AT073,-19.95,619.05,15.24,187.75,3.297246965,16.9,45
Atlantic Tripletail,AT074,-18.31,632.31,14.98,194.33,3.253767137,17.6,48
Atlantic Tripletail,AT075,-18.11,590.97,12.03,181.85,3.249774941,19.5,51
Atlantic Tripletail,AT076,-17.99,619.69,11.58,190.79,3.24800045,19.8,47
Atlantic Tripletail,AT077,-19.43,588.31,12.77,183.02,3.214476949,17.2,48
Atlantic Tripletail,AT078,-18.52,576.85,11.66,179.34,3.216475758,19.1,53
Atlantic Tripletail,AT082,-18.14,609.56,10.33,189.95,3.20910076,19.4,66
Atlantic Tripletail,AT083,-17.73,610.68,11.13,190.38,3.20766275,20,64
Atlantic Tripletail,AT084,-17.71,557.8,10.27,174.21,3.201810823,20,57
Atlantic Tripletail,AT085,-19.29,582.32,13.39,167.96,3.467130494,18,44
Atlantic Tripletail,AT097,-18.56,535.61,12.37,167.44,3.198726625,18,55
Atlantic Tripletail,AT101,-19.84,703.88,12.65,175.49,4.011007069,18.4,49
Atlantic Tripletail,AT102,-19.32,522.42,16.09,151.35,3.451829389,17.3,46
Atlantic Tripletail,AT104,-20.61,616.21,12.86,181,3.404503095,18.3,47
Atlantic Tripletail,AT105,-19.89,509.03,12.87,159.58,3.189917965,17.6,60
Atlantic Tripletail,AT106,-18.33,710.93,10.81,220.71,3.22117808,19.5,55
Atlantic Tripletail,AT107,-18.18,717.34,11.79,222.94,3.217596219,18.6,56
Atlantic Tripletail,AT108,-18.51,576.02,10.31,181.17,3.179370083,20.2,57
Atlantic Tripletail,AT109,-19.59,580.22,14.02,177.9,3.261466707,15.9,59
Atlantic Tripletail,AT110,-19.18,566.99,10.95,159.17,3.562156323,17.1,46
Atlantic Tripletail,AT111,-18.18,600.58,12.69,182.2,3.296192601,17,47
Atlantic Tripletail,AT112,-18.67,584.53,12.71,180.94,3.230498507,16.9,60
Atlantic Tripletail,AT113,-18.44,612.21,10.25,189.08,3.23777487,18.8,57
Atlantic Tripletail,AT114,-17.84,655.38,9.81,203.8,3.215850531,20,56
Atlantic Tripletail,AT115,-17.95,611.85,10.55,187.25,3.267608164,19.3,49
Atlantic Tripletail,AT116,-17,592.4,8.93,183.41,3.229998877,19.9,44
Atlantic Tripletail,AT117,-18.2,610.82,12.19,187.41,3.259218778,19.3,51
Atlantic Tripletail,AT118,-18.36,614.71,13.12,187.19,3.283853793,18.4,49
Atlantic Tripletail,AT119,-17.69,642.48,11.5,197.23,3.257591498,19.4,54
Atlantic Tripletail,AT120,-17.75,631.39,10.25,193.75,3.258815818,19.8,56
Atlantic Tripletail,AT122,-18.08,691.71,11.84,210.77,3.281774821,18.2,55
Atlantic Tripletail,AT123,-16.68,635.21,10.23,190.38,3.336594229,18.8,47
Atlantic Tripletail,AT124,-18.52,571.43,12.14,171.54,3.331084915,18.8,51
Atlantic Tripletail,AT125,-19.02,661.74,12.17,184.65,3.583719219,18.9,46
Atlantic Tripletail,AT126,-18.03,585.06,11.63,178.18,3.283577303,19.1,53
Atlantic Tripletail,AT129,-18.37,634.44,12.1,196.7,3.225337328,16.4,58
Atlantic Tripletail,AT130,-17.86,570.76,10.1,176.4,3.235634099,19.5,53
Atlantic Tripletail,AT131,-18.77,672.11,14.91,206.07,3.261520868,17.9,46
Atlantic Tripletail,AT132,-18.21,596.26,11.18,174.5,3.416944809,19.2,45
Atlantic Tripletail,AT142,-18.63,564.74,15.19,173.8,3.249327095,16.1,45
Atlantic Tripletail,AT143,-21.11,611.5,13.63,190.83,3.204472367,17.5,54
Atlantic Tripletail,AT149,-22.11,654.04,13.69,202.23,3.234186636,17.6,53
Atlantic Tripletail,AT150,-21.18,593.17,12.73,184.6,3.213197333,18.5,57
Atlantic Tripletail,AT151,-20.89,564.51,12.35,174.89,3.227818685,18.4,56
Atlantic Tripletail,AT152,-19.28,635.73,14.6,194.07,3.275716825,17.4,47
Atlantic Tripletail,AT153,-17.65,648.07,13.01,202.56,3.199409529,18.9,54
Atlantic Tripletail,AT154,-22.15,566.06,13.29,165.39,3.42267104,17.5,45
Atlantic Tripletail,AT155,-21.36,520.67,12.58,161.57,3.222670657,18.1,47
Atlantic Tripletail,AT156,-17.59,560.31,10.88,176.78,3.169586494,20.1,54
Atlantic Tripletail,AT157,-20.49,631.98,14.08,194.92,3.242274079,16.3,57
Atlantic Tripletail,AT158,-20.97,563.13,14.94,174.23,3.232167575,16.6,48
Atlantic Tripletail,AT159,-20.44,615.98,13.42,190.82,3.228025735,16.7,54
Atlantic Tripletail,AT160,-18.46,544.86,12.76,169.47,3.215019796,18.8,55
Atlantic Tripletail,AT161,-18.31,616.65,13.34,190.67,3.234218999,18.4,53
Atlantic Tripletail,AT162,-19,570.9,12.86,177.27,3.220458418,17.6,59
Atlantic Tripletail,AT163,-19.32,647.91,13.23,201.42,3.216720045,17.6,57
Atlantic Tripletail,AT164,-19.15,632.33,12.67,198.1,3.191998717,18.2,59
Atlantic Tripletail,AT165,-19.25,653.68,15.21,198.08,3.300180365,17.4,51
Atlantic Tripletail,AT166,-20.54,553.72,12.15,172.83,3.203850203,18.1,53
Atlantic Tripletail,AT168,-19.24,575.12,13.1,178.59,3.220250431,16.8,54
Atlantic Tripletail,AT169,-21.81,656.54,13.37,203.69,3.223218029,17.7,55
Atlantic Tripletail,AT170,-18.68,672.45,13.36,210.59,3.193134877,17.7,52
Atlantic Tripletail,AT172,-17.48,564.91,10.92,172.55,3.273911662,19.9,49
Atlantic Tripletail,AT173,-18.67,549.62,13.78,172.57,3.184953109,16.7,52
Atlantic Tripletail,AT174,-18.81,556.94,12.71,169.84,3.279105228,19.2,54
Atlantic Tripletail,AT175,-18.71,527.63,11.43,164.96,3.19855302,19,53
Atlantic Tripletail,AT176,-19.22,561.01,11.79,173.33,3.236681155,18.4,61
Atlantic Tripletail,AT177,-21.15,622.09,13.85,191.2,3.253680922,15.4,58
Atlantic Tripletail,AT178,-19.41,653.79,15.44,191.08,3.421454881,16.9,47
Atlantic Tripletail,AT179,-20.74,667.21,15.19,204.28,3.266150312,16.1,50
Atlantic Tripletail,AT180,-20.13,561.22,14.1,170.75,3.286716769,16.5,53
Atlantic Tripletail,AT181,-19.22,597.79,15.68,173.91,3.437347894,17.7,41
Atlantic Tripletail,AT182,-19.43,556.19,15.57,169.01,3.290805237,17.3,43
Atlantic Tripletail,AT183,-17.14,583.82,12.73,174.83,3.339445678,16.6,49
Atlantic Tripletail,AT184,-21.5,578.99,12.72,178.98,3.235005082,18.2,54
Atlantic Tripletail,AT185,-19.48,575.88,12.84,178.9,3.21909123,18.5,54
Atlantic Tripletail,AT187,-19.09,579.36,13.13,178.69,3.242272116,18,51
Atlantic Tripletail,AT197,-22.76,598.54,14.85,184.98,3.235665752,17,54
